% Title: Reallywritter
%
@RELATION text
@ATTRIBUTE	Chapter	NUMERIC
@ATTRIBUTE	chapter_computer	NUMERIC
@ATTRIBUTE	Classification	{J, E, P, D}
@ATTRIBUTE	Propernouns_computer	NUMERIC
@ATTRIBUTE	hasElohim	{Y, N}
@ATTRIBUTE	Particle_computer	NUMERIC
@ATTRIBUTE	verse_computer	NUMERIC
@ATTRIBUTE	Verse	NUMERIC
@ATTRIBUTE	Prepositions_verb_computer	NUMERIC
@ATTRIBUTE	Prepositions_computer	NUMERIC
@ATTRIBUTE	Genre	{Genealogy, Narrative, Blessing, Law, Covenant}
@ATTRIBUTE	Prepositions_pronoun_computer	NUMERIC
@ATTRIBUTE	hasYHWH	{Y, N}

@DATA
6.0,6.0,P,0.0,N,0.0,14.0,14.0,0.0,0.0769230769231,Narrative,0.0,N
6.0,6.0,P,0.0,N,0.0,15.0,15.0,0.0,0.0,Narrative,0.0,N
6.0,6.0,P,0.0,N,0.0,16.0,16.0,0.0,0.0,Narrative,0.0,N
6.0,6.0,P,0.0,N,0.0,17.0,17.0,0.0,0.0588235294118,Narrative,0.0,N
6.0,6.0,P,0.0,N,0.0,18.0,18.0,0.0,0.181818181818,Narrative,0.0,N
6.0,6.0,P,0.0,N,0.0,19.0,19.0,0.0,0.0833333333333,Narrative,0.0,N
6.0,6.0,P,0.0,N,0.0,20.0,20.0,0.0,0.0714285714286,Narrative,0.0,N
6.0,6.0,P,0.0,N,0.0,21.0,21.0,0.0,0.25,Narrative,0.0,N
6.0,6.0,P,0.1,Y,0.0,22.0,22.0,0.0,0.0,Narrative,0.0,N
7.0,7.0,J,0.153846153846,N,0.0,1.0,1.0,0.0,0.0,Narrative,0.0,Y
7.0,7.0,J,0.0,N,0.0,2.0,2.0,0.0,0.0,Narrative,0.0,N
7.0,7.0,J,0.0,N,0.0,3.0,3.0,0.0,0.0,Narrative,0.0,N
7.0,7.0,J,0.0,N,0.0,4.0,4.0,0.0,0.0526315789474,Narrative,0.0,N
7.0,7.0,J,0.333333333333,N,0.0,5.0,5.0,0.0,0.0,Narrative,0.0,Y
7.0,7.0,P,0.0,N,0.0,6.0,6.0,0.0,0.0,Narrative,0.0,N
7.0,7.0,J,0.0909090909091,N,0.0,7.0,7.0,0.0,0.0,Narrative,0.0,N
7.0,7.0,J,0.0,N,0.0,8.0,8.0,0.0,0.0,Narrative,0.0,N
7.0,7.0,J,0.0,Y,0.0,9.0,9.0,0.0,0.0,Narrative,0.0,N
7.0,7.0,J,0.0,N,0.0,10.0,10.0,0.0,0.0,Narrative,0.0,N
7.0,7.0,P,0.0,N,0.0,11.0,11.0,0.0,0.0,Narrative,0.0,N
7.0,7.0,J,0.0,N,0.0,12.0,12.0,0.0,0.0,Narrative,0.0,N
7.0,7.0,P,0.2,N,0.0,13.0,13.0,0.0,0.0666666666667,Narrative,0.0,N
7.0,7.0,P,0.0,N,0.0,14.0,14.0,0.0,0.0,Narrative,0.0,N
7.0,7.0,P,0.0,N,0.0,15.0,15.0,0.0,0.0,Narrative,0.0,N
7.0,7.0,P,0.0769230769231,Y,0.0,16.0,16.0,0.0,0.0,Narrative,0.0,Y
7.0,7.0,J,0.0,N,0.0,17.0,17.0,0.0,0.0769230769231,Narrative,0.0,N
7.0,7.0,P,0.0,N,0.0,18.0,18.0,0.0,0.0,Narrative,0.0,N
7.0,7.0,P,0.0,N,0.0,19.0,19.0,0.0,0.0,Narrative,0.0,N
7.0,7.0,P,0.0,N,0.0,20.0,20.0,0.0,0.0,Narrative,0.0,N
7.0,7.0,P,0.0,N,0.0,21.0,21.0,0.0,0.0,Narrative,0.0,N
7.0,7.0,J,0.0,N,0.0,22.0,22.0,0.0,0.0,Narrative,0.0,N
7.0,7.0,J,0.0,N,0.0,23.0,23.0,0.0555555555556,0.0555555555556,Narrative,0.0,N
7.0,7.0,P,0.0,N,0.0,24.0,24.0,0.0,0.0,Narrative,0.0,N
8.0,8.0,P,0.0,Y,0.0,1.0,1.0,0.0,0.0,Narrative,0.0,N
8.0,8.0,P,0.0,N,0.0,2.0,2.0,0.0,0.0,Narrative,0.0,N
8.0,8.0,J,0.0,N,0.0,3.0,3.0,0.0,0.0769230769231,Narrative,0.0,N
8.0,8.0,P,0.0,N,0.0,4.0,4.0,0.0,0.0,Narrative,0.0,N
8.0,8.0,P,0.0,N,0.0,5.0,5.0,0.0,0.0714285714286,Narrative,0.0,N
8.0,8.0,J,0.0909090909091,N,0.0,6.0,6.0,0.0,0.0,Narrative,0.0,N
8.0,8.0,P,0.0,N,0.0,7.0,7.0,0.0,0.1,Narrative,0.0,N
8.0,8.0,J,0.0,N,0.0,8.0,8.0,0.0,0.1,Narrative,0.0,N
8.0,8.0,J,0.0,N,0.0,9.0,9.0,0.0,0.111111111111,Narrative,0.0,N
8.0,8.0,J,0.0,N,0.0,10.0,10.0,0.0,0.0,Narrative,0.0,N
8.0,8.0,J,0.0625,N,0.0,11.0,11.0,0.0,0.125,Narrative,0.0,N
8.0,8.0,J,0.0,N,0.0,12.0,12.0,0.0,0.0,Narrative,0.0,N
8.0,8.0,J,0.047619047619,N,0.0,13.0,13.0,0.0,0.047619047619,Narrative,0.0,N
8.0,8.0,P,0.0,N,0.0,14.0,14.0,0.0,0.0,Narrative,0.0,N
8.0,8.0,P,0.0,Y,0.0,15.0,15.0,0.0,0.0,Narrative,0.0,N
8.0,8.0,P,0.0,N,0.0,16.0,16.0,0.0,0.125,Narrative,0.0,N
8.0,8.0,P,0.0,N,0.0,17.0,17.0,0.0,0.0588235294118,Narrative,0.0,N
8.0,8.0,P,0.0,N,0.0,18.0,18.0,0.0,0.0,Narrative,0.0,N
8.0,8.0,P,0.0,N,0.0,19.0,19.0,0.0,0.0,Narrative,0.0,N
8.0,8.0,J,0.133333333333,N,0.0,20.0,20.0,0.0,0.0,Narrative,0.0,N
8.0,8.0,J,0.0769230769231,N,0.0,21.0,21.0,0.0,0.0,Covenant,0.0,Y
8.0,8.0,J,0.0,N,0.0,22.0,22.0,0.0,0.0,Covenant,0.0,N
9.0,9.0,P,0.0,Y,0.0,1.0,1.0,0.0,0.0909090909091,Narrative,0.0,N
9.0,9.0,P,0.0,N,0.0,2.0,2.0,0.0,0.0555555555556,Narrative,0.0,N
9.0,9.0,P,0.0,N,0.0,3.0,3.0,0.0,0.0,Narrative,0.0,N
9.0,9.0,P,0.0,N,0.0,4.0,4.0,0.0,0.0,Narrative,0.0,N
9.0,9.0,P,0.0,N,0.0,5.0,5.0,0.0,0.0,Narrative,0.0,N
9.0,9.0,P,0.0,Y,0.0,6.0,6.0,0.0,0.0,Narrative,0.0,N
9.0,9.0,P,0.0,N,0.0,7.0,7.0,0.0,0.0,Narrative,0.0,N
9.0,9.0,P,0.0,Y,0.0,8.0,8.0,0.0,0.0,Narrative,0.0,N
9.0,9.0,P,0.0,N,0.0,9.0,9.0,0.0,0.25,Narrative,0.0,N
9.0,9.0,P,0.0,N,0.0,10.0,10.0,0.0,0.117647058824,Narrative,0.0,N
9.0,9.0,P,0.0,N,0.0,11.0,11.0,0.0,0.0714285714286,Narrative,0.0,N
9.0,9.0,P,0.0,Y,0.0,12.0,12.0,0.0,0.25,Narrative,0.0,N
9.0,9.0,P,0.0,N,0.0,13.0,13.0,0.0,0.2,Narrative,0.0,N
9.0,9.0,P,0.0,N,0.0,14.0,14.0,0.0,0.0,Narrative,0.0,N
9.0,9.0,P,0.0,N,0.0,15.0,15.0,0.0,0.1875,Narrative,0.0,N
9.0,9.0,P,0.0,Y,0.0,16.0,16.0,0.0,0.125,Narrative,0.0,N
9.0,9.0,P,0.0,Y,0.0,17.0,17.0,0.0,0.153846153846,Narrative,0.0,N
9.0,9.0,J,0.333333333333,N,0.0,18.0,18.0,0.0,0.0,Narrative,0.0,N
9.0,9.0,J,0.0,N,0.0,19.0,19.0,0.0,0.0,Narrative,0.0,N
9.0,9.0,J,0.142857142857,N,0.0,20.0,20.0,0.0,0.0,Narrative,0.0,N
9.0,9.0,J,0.0,N,0.0,21.0,21.0,0.0,0.0,Narrative,0.0,N
9.0,9.0,J,0.181818181818,N,0.0,22.0,22.0,0.0,0.0,Narrative,0.0,N
9.0,9.0,J,0.05,N,0.05,23.0,23.0,0.0,0.0,Narrative,0.0,N
9.0,9.0,J,0.111111111111,N,0.0,24.0,24.0,0.0,0.0,Narrative,0.0,N
9.0,9.0,J,0.125,N,0.0,25.0,25.0,0.0,0.0,Blessing,0.0,N
9.0,9.0,J,0.2,N,0.0,26.0,26.0,0.0,0.0,Blessing,0.0,Y
9.0,9.0,J,0.2,Y,0.0,27.0,27.0,0.0,0.0,Blessing,0.0,N
9.0,9.0,P,0.0,N,0.0,28.0,28.0,0.0,0.0,Genealogy,0.0,N
9.0,9.0,P,0.0,N,0.0,29.0,29.0,0.0,0.0,Genealogy,0.0,N
10.0,10.0,P,0.166666666667,N,0.0,1.0,1.0,0.0,0.0833333333333,Genealogy,0.0,N
10.0,10.0,P,0.6,N,0.0,2.0,2.0,0.0,0.0,Genealogy,0.0,N
